,-4000~-3500,-3500~-3000,-3000~-2500,-2500~-2000,-2000~-1500,-1500~-1000,-1000~-500,-500~0,0~500,500~1000,1000~1500,1500~2000,2000~2500,2500~3000,3000~3500,3500~4000,4000~4500,4500~5000,5000~5500,5500~6000,6000~6500,6500~7000,7000~7500,7500~8000,8000~8500,8500~9000,9000~9500,9500~10000,10000~10500,10500~11000,11000~11500,11500~12000,12000~12500
-300~-250,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250~-200,0,0,0,0,0,0,0,1,0,0,30,106,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200~-150,0,0,0,0,0,0,2,18,0,58,1448,2675,2360,1392,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150~-100,0,0,0,0,0,0,9,333,1,3501,18115,18128,15401,11213,7651,3970,1592,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100~-50,0,0,0,0,0,3,91,4285,48,64354,99613,98818,87403,68870,48604,31235,18947,11491,6029,3129,1615,731,326,194,72,17,0,0,0,0,0,0,0
-50~0,0,0,0,0,0,43,526,222714,417694,513688,463174,451217,444146,434809,397154,327991,248901,173019,114516,74109,37999,18113,9924,5551,3134,1683,610,275,121,58,25,0,0
0~50,0,0,0,0,0,17,441,56236,543643,291792,381339,414626,434020,451248,435647,387353,325779,251330,190340,141493,76358,39649,28363,16243,10409,7230,1820,710,292,113,74,59,0
50~100,0,0,0,0,0,0,0,224,134226,179645,170055,159600,144044,120665,93790,67879,44263,27450,15917,9442,5303,2963,1712,992,599,350,159,101,67,33,24,0,0
100~150,0,0,0,0,0,0,0,12,27758,31164,30534,28620,25214,19630,14035,8743,4963,2835,1516,921,563,332,202,97,78,42,32,6,0,0,0,0,0
150~200,0,0,0,0,0,0,0,3,3210,4301,4310,3739,3321,2610,1936,1285,786,420,248,145,77,1,0,0,0,0,0,0,0,0,0,0,0
200~250,0,0,0,0,0,0,0,2,216,247,355,362,338,297,244,170,128,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250~300,0,0,0,0,0,0,0,0,10,7,14,14,21,24,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300~350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
