,0,1,2,3,4,5
0,LSVUY60T0L2036123,2020-05-31 10:40:31,1,23,0,426.8999938964844
1,LSVUY60T0L2036123,2020-06-01 08:57:25,-1,98,-2,426.8999938964844
2,LSVUY60T0L2036123,2020-06-04 11:17:37,1,85,0,431.6000061035156
3,LSVUY60T0L2036123,2020-06-04 12:35:28,-1,100,0,431.6000061035156
4,LSVUY60T0L2036123,2020-06-12 08:45:55,1,1,0,506.0
5,LSVUY60T0L2036123,2020-06-12 11:10:28,-1,75,5,506.0
6,LSVUY60T0L2036123,2020-06-16 16:40:15,1,17,1,557.5999755859375
7,LSVUY60T0L2036123,2020-06-16 18:13:38,-1,64,0,557.5999755859375
8,LSVUY60T0L2036123,2020-06-23 12:46:08,1,1,0,605.5
9,LSVUY60T0L2036123,2020-06-23 14:12:24,-1,47,2,605.5
10,LSVUY60T0L2036123,2020-07-06 08:11:40,1,1,0,766.7999877929688
11,LSVUY60T0L2036123,2020-07-06 11:24:49,-1,98,1,766.7999877929688
12,LSVUY60T0L2036123,2020-07-08 08:25:18,1,14,0,807.7000122070312
13,LSVUY60T0L2036123,2020-07-08 09:30:33,-1,48,3,807.7000122070312
14,LSVUY60T0L2036123,2020-07-08 12:03:30,1,1,0,839.9000244140625
15,LSVUY60T0L2036123,2020-07-08 14:04:16,-1,63,3,839.9000244140625
16,LSVUY60T0L2036123,2020-07-08 17:48:27,1,1,0,871.5
17,LSVUY60T0L2036123,2020-07-08 18:11:36,-1,12,2,871.5
18,LSVUY60T0L2036123,2020-07-11 08:26:37,1,1,0,914.5999755859375
19,LSVUY60T0L2036123,2020-07-11 12:12:01,-1,100,0,914.5999755859375
20,LSVUY60T0L2036123,2020-07-16 10:18:10,1,90,0,921.2000122070312
21,LSVUY60T0L2036123,2020-07-16 11:17:48,-1,100,0,921.2000122070312
22,LSVUY60T0L2036123,2020-07-16 15:18:51,1,48,0,943.9000244140625
23,LSVUY60T0L2036123,2020-07-16 17:18:20,-1,100,0,943.9000244140625
24,LSVUY60T0L2036123,2020-07-17 15:18:12,1,82,0,944.0999755859375
25,LSVUY60T0L2036123,2020-07-19 10:14:58,-1,55,-45,959.7000122070312
26,LSVUY60T0L2036123,2020-07-19 16:17:29,1,35,0,978.9000244140625
27,LSVUY60T0L2036123,2020-07-20 14:14:03,-1,100,0,978.9000244140625
28,LSVUY60T1L2032887,2020-05-07 15:01:59,1,9,0,106.4000015258789
29,LSVUY60T1L2032887,2020-05-07 17:12:09,-1,76,1,106.4000015258789
30,LSVUY60T1L2032887,2020-06-01 11:42:02,1,1,0,848.4000244140625
31,LSVUY60T1L2032887,2020-06-01 11:45:56,-1,3,0,848.4000244140625
32,LSVUY60T1L2032887,2020-06-01 11:49:27,1,3,0,848.4000244140625
33,LSVUY60T1L2032887,2020-06-02 06:22:37,-1,98,-2,848.5
34,LSVUY60T1L2032887,2020-06-02 07:46:46,1,77,0,860.0999755859375
35,LSVUY60T1L2032887,2020-06-02 10:23:45,-1,100,0,860.0999755859375
36,LSVUY60T1L2032887,2020-06-02 13:59:46,1,54,0,880.9000244140625
37,LSVUY60T1L2032887,2020-06-03 06:19:13,-1,100,0,880.9000244140625
38,LSVUY60T1L2032887,2020-06-06 12:18:01,1,64,0,976.4000244140625
